market_slug,ticker,earnings_date,eps_type,accounting_basis,eps_target,actual_eps,consensus_mean,beat_prob_last,sigma,implied_eps_t,implied_eps_ecdf
dis-quarterly-earnings-nongaap-eps-02-02-2026-1pt57,DIS,2026-02-02,nongaap,Non-GAAP,1.57,1.63,1.57,0.9025443392055011,0.10181310863984604,1.73,1.55
dkng-quarterly-earnings-nongaap-eps-02-12-2026-0pt4,DKNG,2026-02-12,nongaap,Non-GAAP,0.4,0.01,0.1,0.5384057421394459,0.20079199247585605,0.42,0.44
dkng-quarterly-earnings-nongaap-eps-11-06-2025-neg0pt25,DKNG,2025-11-06,nongaap,Non-GAAP,-0.25,-0.52,-0.31,0.5724494121809374,0.18658818696571206,-0.21,-0.22
dltr-quarterly-earnings-nongaap-eps-12-03-2025-1pt08,DLTR,2025-12-03,nongaap,Non-GAAP,1.08,1.21,1.08,0.8372599646624397,0.13591441157113282,1.23,1.16
docu-quarterly-earnings-nongaap-eps-12-04-2025-0pt91,DOCU,2025-12-04,nongaap,Non-GAAP,0.91,1.01,0.92,0.9746267608627162,0.06596601512532917,1.09,0.98
dow-quarterly-earnings-nongaap-eps-10-23-2025-neg0pt3,DOW,2025-10-23,nongaap,Non-GAAP,-0.3,-0.19,-0.3,0.33890217977206205,0.1432036058459169,-0.36,-0.34
dy-quarterly-earnings-gaap-eps-11-19-2025-3pt2,DY,2025-11-19,gaap,GAAP,3.2,3.63,3.2,0.9437737678449418,0.3808192301612486,3.97,3.31
ea-quarterly-earnings-gaap-eps-10-28-2025-0pt35,EA,2025-10-28,gaap,GAAP,0.35,0.54,0.39,0.8282932829288632,0.2260664959830638,0.59,0.29
eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,EB,2025-11-06,gaap,GAAP,-0.04,0.06,-0.04,0.6212121212121212,0.06648649897125389,-0.02,-0.06
ebay-quarterly-earnings-nongaap-eps-10-29-2025-1pt33,EBAY,2025-10-29,nongaap,Non-GAAP,1.33,1.36,1.33,0.8571554202890858,0.019598237397554622,1.35,1.31
efx-quarterly-earnings-nongaap-eps-02-04-2026-2pt05,EFX,2026-02-04,nongaap,Non-GAAP,2.05,7.65,2.05,0.7986848293693414,0.03950450683917043,2.09,2.02
efx-quarterly-earnings-nongaap-eps-2025-10-21-1pt94,EFX,2025-10-21,nongaap,Non-GAAP,1.94,2.04,1.94,0.6436793557288368,0.039080336836735806,1.96,1.9
